miRNA,RF,RRF
hsa-miR-1249   ,1,0
hsa-miR-1274b  ,1,0
hsa-miR-675    ,1,0
hsa-miR-1278   ,1,0
hsa-miR-632    ,1,0
hsa-miR-933    ,1,0
hsa-miR-365*   ,1,0
hsa-miR-326    ,1,0
hsa-miR-433    ,1,0
hsa-miR-124*   ,0,0
hsa-miR-194*   ,0,0
hsa-miR-517a   ,0,0
hsa-miR-557    ,0,0
hsa-miR-518d-5p,0,0
hsa-miR-637    ,0,0
hsa-miR-490-5p ,0,0
hsa-miR-520b   ,0,0
hsa-miR-105*   ,0,0
hsa-miR-34c-5p ,0,0
hsa-miR-518a-3p,0,0
hsa-miR-224*   ,0,0
hsa-miR-642    ,0,0
hsa-miR-645    ,0,0
hsa-miR-380    ,0,0
hsa-miR-431*   ,0,0
hsa-miR-448    ,0,0
hsa-miR-519a*  ,0,0
hsa-miR-1306   ,0,0
hsa-miR-518e   ,0,0
hsa-miR-20b*   ,0,0
hsa-miR-380*   ,0,0
hsa-miR-515-5p ,0,0
hsa-miR-1468   ,0,0
hsa-miR-1909*  ,0,0
hsa-miR-522*   ,0,0
hsa-miR-922    ,0,0
hsa-miR-1915   ,0,0
hsa-miR-1228*  ,0,0
hsa-miR-648    ,0,0
hsa-miR-216a   ,0,0
hsa-miR-562    ,0,0
hsa-miR-19b-2* ,0,0
hsa-miR-875-5p ,0,0
hsa-miR-513a-5p,0,0
hsa-miR-650    ,0,0
hsa-miR-1184   ,0,0
hsa-miR-1276   ,0,0
hsa-miR-133a   ,0,0
hsa-miR-520g   ,0,0
hsa-miR-150*   ,0,0
hsa-miR-616    ,0,0
hsa-miR-1290   ,0,0
hsa-miR-551b*  ,0,0
hsa-miR-1911*  ,0,0
hsa-miR-519b-3p,0,0
hsa-miR-1974   ,0,0
hsa-miR-513b   ,0,0
hsa-miR-195*   ,0,0
hsa-miR-302c*  ,0,0
hsa-miR-644    ,0,0
hsa-miR-2110   ,0,0
hsa-miR-487a   ,0,0
hsa-miR-337-5p ,0,0
hsa-miR-483-3p ,0,0
hsa-miR-548g   ,0,0
hsa-miR-204    ,0,0
hsa-miR-1289   ,0,0
hsa-miR-604    ,0,0
hsa-miR-668    ,0,0
hsa-miR-563    ,0,0
hsa-miR-1179   ,0,0
hsa-miR-1909   ,0,0
hsa-miR-214    ,0,0
hsa-miR-1977   ,0,0
hsa-miR-30c-1* ,0,0
hsa-miR-638    ,0,0
hsa-miR-549    ,0,0
hsa-miR-218-1* ,0,0
hsa-miR-890    ,0,0
hsa-miR-1304   ,0,0
hsa-miR-548a-5p,0,0
hsa-miR-1826   ,0,0
hsa-miR-490-3p ,0,0
hsa-miR-647    ,0,0
hsa-miR-559    ,0,0
hsa-miR-1267   ,0,0
hsa-miR-1248   ,0,0
hsa-miR-138-1* ,0,0
hsa-miR-920    ,0,0
hsa-miR-92a-2* ,0,0
hsa-miR-363*   ,0,0
hsa-miR-516a-3p,0,0
hsa-miR-548b-5p,0,0
hsa-miR-452    ,0,0
hsa-miR-496    ,0,0
hsa-miR-575    ,0,0
hsa-miR-511    ,0,0
hsa-miR-520a-3p,0,0
hsa-miR-661    ,0,0
hsa-miR-585    ,0,0
hsa-miR-31     ,0,0
hsa-miR-1471   ,0,0
hsa-miR-513a-3p,0,0
hsa-miR-544    ,0,0
hsa-miR-26a-1* ,0,0
hsa-miR-142-5p ,0,0
hsa-miR-379*   ,0,0
hsa-miR-220a   ,0,0
hsa-miR-486-3p ,0,0
hsa-miR-449a   ,0,0
hsa-miR-507    ,0,0
hsa-miR-29b-1* ,0,0
hsa-miR-548m   ,0,0
hsa-miR-302a*  ,0,0
hsa-miR-1237   ,0,0
hsa-miR-561    ,0,0
hsa-miR-519c-3p,0,0
hsa-miR-943    ,0,0
hsa-miR-548n   ,0,0
hsa-miR-1178   ,0,0
hsa-miR-217    ,0,0
hsa-miR-146b-3p,0,0
hsa-miR-892b   ,0,0
hsa-miR-1288   ,0,0
hsa-miR-658    ,0,0
hsa-miR-302e   ,0,0
hsa-miR-885-5p ,0,0
hsa-miR-1282   ,0,0
hsa-let-7c*    ,0,0
hsa-miR-548c-5p,0,0
hsa-miR-886-3p ,0,0
hsa-miR-603    ,0,0
hsa-miR-1825   ,0,0
hsa-miR-1914*  ,0,0
hsa-miR-938    ,0,0
hsa-miR-519a   ,0,0
hsa-miR-298    ,0,0
hsa-miR-1268   ,0,0
hsa-miR-508-5p ,0,0
hsa-miR-1308   ,0,0
hsa-miR-542-5p ,0,0
hsa-miR-1231   ,0,0
hsa-miR-663    ,0,0
hsa-miR-619    ,0,0
hsa-miR-587    ,0,0
hsa-miR-937    ,0,0
hsa-miR-1207-5p,0,0
hsa-miR-1280   ,0,0
hsa-miR-623    ,0,0
hsa-miR-875-3p ,0,0
hsa-miR-657    ,0,0
hsa-miR-216b   ,0,0
hsa-miR-1182   ,0,0
hsa-miR-630    ,0,0
hsa-miR-580    ,0,0
hsa-miR-299-5p ,0,0
hsa-miR-1246   ,0,0
hsa-miR-600    ,0,0
hsa-miR-548p   ,0,0
hsa-miR-586    ,0,0
hsa-miR-876-5p ,0,0
hsa-miR-367    ,0,0
hsa-miR-1203   ,0,0
hsa-miR-621    ,0,0
hsa-miR-524-5p ,0,0
hsa-miR-143*   ,0,0
hsa-miR-1470   ,0,0
hsa-miR-543    ,0,0
hsa-miR-516a-5p,0,0
hsa-miR-449b   ,0,0
hsa-miR-1236   ,0,0
hsa-miR-337-3p ,0,0
hsa-miR-598    ,0,0
hsa-miR-302c   ,0,0
hsa-miR-302f   ,0,0
hsa-miR-1201   ,0,0
hsa-miR-548i   ,0,0
hsa-miR-202    ,0,0
hsa-miR-218-2* ,0,0
hsa-miR-520a-5p,0,0
hsa-miR-606    ,0,0
hsa-miR-521    ,0,0
hsa-miR-516b*  ,0,0
hsa-miR-1912   ,0,0
hsa-miR-329    ,0,0
hsa-miR-646    ,0,0
hsa-miR-146a*  ,0,0
hsa-miR-145*   ,0,0
hsa-miR-525-5p ,0,0
hsa-miR-1281   ,0,0
hsa-miR-494    ,0,0
hsa-miR-582-3p ,0,0
hsa-miR-371-5p ,0,0
hsa-miR-489    ,0,0
hsa-miR-2113   ,0,0
hsa-miR-1227   ,0,0
hsa-miR-373    ,0,0
hsa-miR-581    ,0,0
hsa-miR-1207-3p,0,0
hsa-miR-130a   ,0,0
hsa-miR-552    ,0,0
hsa-miR-874    ,0,0
hsa-miR-373*   ,0,0
hsa-miR-548f   ,0,0
hsa-miR-220c   ,0,0
hsa-miR-1914   ,0,0
hsa-miR-569    ,0,0
hsa-miR-518b   ,0,0
hsa-miR-664    ,0,0
hsa-miR-720    ,0,0
hsa-miR-1247   ,0,0
hsa-miR-1269   ,0,0
hsa-miR-302d   ,0,0
hsa-miR-1202   ,0,0
hsa-miR-765    ,0,0
hsa-let-7a-2*  ,0,0
hsa-miR-628-3p ,0,0
hsa-miR-1913   ,0,0
hsa-miR-1324   ,0,0
hsa-miR-188-3p ,0,0
hsa-miR-196b*  ,0,0
hsa-miR-617    ,0,0
hsa-miR-599    ,0,0
hsa-miR-1271   ,0,0
hsa-miR-513c   ,0,0
hsa-miR-1297   ,0,0
hsa-miR-591    ,0,0
hsa-miR-1208   ,0,0
hsa-miR-635    ,0,0
hsa-miR-1915*  ,0,0
hsa-miR-34c-3p ,0,0
hsa-miR-767-3p ,0,0
hsa-miR-26b*   ,0,0
hsa-miR-1291   ,0,0
hsa-miR-1253   ,0,0
hsa-miR-1200   ,0,0
hsa-miR-885-3p ,0,0
hsa-miR-936    ,0,0
hsa-miR-921    ,0,0
hsa-miR-135a   ,0,0
hsa-miR-579    ,0,0
hsa-miR-411*   ,0,0
hsa-miR-520f   ,0,0
hsa-miR-146a   ,0,0
hsa-miR-605    ,0,0
hsa-miR-1538   ,0,0
hsa-miR-1243   ,0,0
hsa-miR-1259   ,0,0
hsa-miR-103-as ,0,0
hsa-miR-147    ,0,0
hsa-miR-1233   ,0,0
hsa-miR-520c-3p,0,0
hsa-miR-518a-5p,0,0
hsa-miR-608    ,0,0
hsa-miR-770-5p ,0,0
hsa-miR-509-3p ,0,0
hsa-miR-498    ,0,0
hsa-miR-1469   ,0,0
hsa-miR-517b   ,0,0
hsa-miR-1262   ,0,0
hsa-miR-633    ,0,0
hsa-miR-144    ,0,0
hsa-miR-1323   ,0,0
hsa-miR-214*   ,0,0
hsa-miR-886-5p ,0,0
hsa-miR-323-5p ,0,0
hsa-miR-384    ,0,0
hsa-miR-220b   ,0,0
hsa-miR-302a   ,0,0
hsa-miR-888    ,0,0
hsa-miR-675*   ,0,0
hsa-miR-553    ,0,0
hsa-miR-802    ,0,0
hsa-miR-568    ,0,0
hsa-miR-592    ,0,0
hsa-miR-596    ,0,0
hsa-miR-122*   ,0,0
hsa-miR-105    ,0,0
hsa-miR-124    ,0,0
hsa-miR-517*   ,0,0
hsa-miR-155    ,0,0
hsa-miR-548d-5p,0,0
hsa-miR-34b    ,0,0
hsa-miR-325    ,0,0
hsa-miR-588    ,0,0
hsa-miR-1261   ,0,0
hsa-miR-1270   ,0,0
hsa-miR-593    ,0,0
hsa-miR-518f*  ,0,0
hsa-miR-34b*   ,0,0
hsa-miR-1285   ,0,0
hsa-miR-512-3p ,0,0
hsa-miR-1181   ,0,0
hsa-miR-205*   ,0,0
hsa-miR-520d-3p,0,0
hsa-miR-519d   ,0,0
hsa-miR-610    ,0,0
hsa-miR-198    ,0,0
hsa-miR-92a-1* ,0,0
hsa-miR-144*   ,0,0
hsa-miR-452*   ,0,0
hsa-miR-612    ,0,0
hsa-miR-1204   ,0,0
hsa-miR-514    ,0,0
hsa-miR-636    ,0,0
hsa-miR-664*   ,0,0
hsa-miR-520e   ,0,0
hsa-miR-607    ,0,0
hsa-miR-520c-5p,0,0
hsa-miR-1258   ,0,0
hsa-miR-578    ,0,0
hsa-miR-10b*   ,0,0
hsa-miR-383    ,0,0
hsa-miR-155*   ,0,0
hsa-miR-1206   ,0,0
hsa-miR-934    ,0,0
hsa-miR-139-3p ,0,0
hsa-miR-566    ,0,0
hsa-miR-518c*  ,0,0
hsa-miR-554    ,0,0
hsa-miR-523    ,0,0
hsa-miR-422a   ,0,0
hsa-miR-1322   ,0,0
hsa-miR-1263   ,0,0
hsa-miR-539    ,0,0
hsa-miR-545*   ,0,0
hsa-miR-1295   ,0,0
hsa-miR-1257   ,0,0
hsa-miR-609    ,0,0
hsa-miR-412    ,0,0
hsa-miR-516b   ,0,0
hsa-miR-634    ,0,0
hsa-miR-526b   ,0,0
hsa-miR-133b   ,0,0
hsa-miR-149*   ,0,0
hsa-miR-567    ,0,0
hsa-miR-302d*  ,0,0
hsa-miR-620    ,0,0
hsa-miR-572    ,0,0
hsa-miR-2052   ,0,0
hsa-miR-330-5p ,0,0
hsa-miR-139-5p ,0,0
hsa-miR-223    ,0,0
hsa-miR-518c   ,0,0
hsa-miR-526b*  ,0,0
hsa-miR-449b*  ,0,0
hsa-miR-492    ,0,0
hsa-miR-548h   ,0,0
hsa-miR-571    ,0,0
hsa-miR-381    ,0,0
hsa-miR-211    ,0,0
hsa-miR-519e*  ,0,0
hsa-miR-361-3p ,0,0
hsa-miR-518e*  ,0,0
hsa-miR-593*   ,0,0
hsa-miR-432*   ,0,0
hsa-miR-1238   ,0,0
hsa-miR-1300   ,0,0
hsa-miR-150    ,0,0
hsa-miR-1273   ,0,0
hsa-miR-1978   ,0,0
hsa-miR-526a   ,0,0
hsa-miR-583    ,0,0
hsa-miR-611    ,0,0
hsa-miR-199b-5p,0,0
hsa-miR-1911   ,0,0
hsa-miR-1284   ,0,0
hsa-miR-221*   ,0,0
hsa-miR-659    ,0,0
hsa-miR-527    ,0,0
hsa-miR-100*   ,0,0
hsa-miR-1321   ,0,0
hsa-miR-523*   ,0,0
hsa-miR-640    ,0,0
hsa-miR-631    ,0,0
hsa-miR-1224-3p,0,0
hsa-miR-1245   ,0,0
hsa-miR-138-2* ,0,0
hsa-miR-208b   ,0,0
hsa-miR-525-3p ,0,0
hsa-miR-130a*  ,0,0
hsa-miR-1539   ,0,0
hsa-miR-519e   ,0,0
hsa-miR-520h   ,0,0
hsa-miR-1225-5p,0,0
hsa-miR-10b    ,0,0
hsa-miR-522    ,0,0
hsa-miR-555    ,0,0
hsa-miR-431    ,0,0
hsa-miR-486-5p ,0,0
hsa-miR-1228   ,0,0
hsa-miR-1827   ,0,0
hsa-miR-1299   ,0,0
hsa-miR-135a*  ,0,0
hsa-miR-518f   ,0,0
hsa-miR-548c-3p,0,0
hsa-miR-663b   ,0,0
hsa-miR-106a*  ,0,0
hsa-miR-1279   ,0,0
hsa-miR-656    ,0,0
hsa-miR-297    ,0,0
hsa-miR-1264   ,0,0
hsa-miR-2053   ,0,0
hsa-miR-548l   ,0,0
hsa-miR-654-5p ,0,0
hsa-miR-506    ,0,0
hsa-miR-302b   ,0,0
hsa-miR-626    ,0,0
hsa-miR-1283   ,0,0
hsa-miR-187*   ,0,0
hsa-miR-1251   ,0,0
hsa-miR-518d-3p,0,0
hsa-miR-891a   ,0,0
hsa-miR-485-5p ,0,0
hsa-miR-137    ,0,0
hsa-miR-614    ,0,0
hsa-miR-888*   ,0,0
hsa-miR-924    ,0,0
hsa-miR-892a   ,0,0
